rung,experiment,change,species,role,growth_scale,fitted,peak_mu,peak_T_C,peak_mu_model,thermal_limit_C,fit_r2,descr_Topt_C,descr_rmax,descr_CTmax_C,descr_Ea_eV,pool_binds,pool_binding_ratio,all_caps_ratio,median_enzyme_Tm_C,plateau_lo_C,plateau_hi_C,plateau_width_C,observed_limit_C,ceiling_gap_C
B0,transfer_candida,"phenomenological form, fitted sigma/w/P, maintenance corrected (K2 PART A)",auris,calibrate_on,2.074124487953964,pheno_sigma=10.2314;pheno_w=8.78845;pool_budget=0.356974,0.7988000000000336,34.0,0.385126353138049,54.5283203125,0.9007429920852852,34.5,0.8015541980412906,55.2555226954438,1.3124956168610589,True,5.309923531404799,5.309923531404799,53.68015200000002,34.5,35.0,0.5,44.0,10.5283203125
B0,transfer_candida,"phenomenological form, fitted sigma/w/P, maintenance corrected (K2 PART A)",haemulonii,predict,2.074124487953964,pheno_sigma=10.2314;pheno_w=8.78845;pool_budget=0.356974,0.7304977220742457,34.0,0.3521956981448354,53.5576171875,-0.6683618233273556,34.5,0.7316136198517221,54.55725538104521,1.1874211196104765,True,5.806406767213998,5.806406767213998,53.53632600000003,34.5,34.5,0.0,44.0,9.5576171875
B0,transfer_candida,"phenomenological form, fitted sigma/w/P, maintenance corrected (K2 PART A)",duobushaemulonii,predict,2.074124487953964,pheno_sigma=10.2314;pheno_w=8.78845;pool_budget=0.356974,0.5536769372990842,34.0,0.2669448919361937,52.7099609375,0.254880630593941,34.0,0.553676937299084,54.70133788809491,1.1561942524175477,True,7.660725291498018,7.660725291498018,53.52176400000002,34.0,34.0,0.0,38.0,14.7099609375
B0,transfer_candida,"phenomenological form, fitted sigma/w/P, maintenance corrected (K2 PART A)",parapsilosis,predict,2.074124487953964,pheno_sigma=10.2314;pheno_w=8.78845;pool_budget=0.356974,0.6830694123218574,36.0,0.3293290331843468,53.329833984375,0.0418635478333511,36.0,0.6830694123218544,54.35768453191258,1.2974738496321276,True,8.613640172786507,8.613640172786507,54.206860000000006,36.0,36.0,0.0,40.0,13.329833984375
B1,candida_B1_unfolding,thermal form: phenomenological -> unfolding,auris,calibrate_on,1.9176776375861837,none,0.7987999999999995,38.0,0.4165455050127527,53.54541015625,0.2046081562047687,38.0,0.7988,53.68238324914087,1.3111912733562154,True,4.909407160759474,4.909407160759474,53.68015200000002,38.0,38.0,0.0,44.0,9.54541015625
B1,candida_B1_unfolding,thermal form: phenomenological -> unfolding,haemulonii,predict,1.9176776375861837,none,0.6885384201265197,40.0,0.3590480519933453,53.140869140625,-2.089061033033758,39.5,0.6897776735795825,53.33845849852853,1.326748932354156,True,5.695592759070935,5.695592759070935,53.53632600000003,39.5,39.5,0.0,44.0,9.140869140625
B1,candida_B1_unfolding,thermal form: phenomenological -> unfolding,duobushaemulonii,predict,1.9176776375861837,none,0.567066685808302,36.0,0.2957049061291028,53.791259765625,-0.3430627406529041,36.5,0.5673394649081861,53.994301725339525,1.2251905142409731,True,6.915649496187221,6.915649496187221,53.52176400000002,36.5,36.5,0.0,38.0,15.791259765625
B1,candida_B1_unfolding,thermal form: phenomenological -> unfolding,parapsilosis,predict,1.9176776375861837,none,0.7744174718344323,38.0,0.4038308924586543,53.32958984375,-1.017080399000124,37.5,0.7750427005663243,53.4496826970348,1.1761170317749583,True,7.0245289384146785,7.0245289384146785,54.206860000000006,37.5,37.5,0.0,40.0,13.32958984375
B2,candida_B2_grounded_budget,budget: B0's fitted P -> grounded p_total x sigma x f_metab,auris,calibrate_on,7.577083577583573,none,0.7988000000000001,38.0,0.1054231475502276,53.50732421875,0.2156947114820445,38.0,0.7988000000000035,53.6343344981581,1.3225204222074372,True,19.39793615171174,19.39793615171174,53.68015200000002,38.0,38.0,0.0,44.0,9.50732421875
B2,candida_B2_grounded_budget,budget: B0's fitted P -> grounded p_total x sigma x f_metab,haemulonii,predict,7.577083577583573,none,0.6858946226283703,40.0,0.0905222458753861,53.116455078125,-2.069945886670337,39.5,0.6873462635155654,53.313124589577754,1.3347699070534726,True,22.59103787489952,22.59103787489952,53.53632600000003,39.5,39.5,0.0,44.0,9.116455078125
B2,candida_B2_grounded_budget,budget: B0's fitted P -> grounded p_total x sigma x f_metab,duobushaemulonii,predict,7.577083577583573,none,0.5647131485827094,36.0,0.0745290906191645,53.738525390625,-0.3319309923248923,36.5,0.5648500423032154,53.95586818589647,1.2406629980674764,True,27.438835870700267,27.438835870700267,53.52176400000002,36.5,36.5,0.0,38.0,15.738525390625
