rxn_id,enzyme_id,parameter,ident,top_descriptor,identifiable_from_growth,refined
CYTDK2No1,P0A8F4,Topt_i,0.0,CT_max_C,False,False
XPPTNo1,P0A9M5,Topt_i,0.0,CT_max_C,False,False
HXPRTNo1,P0A9M5,Topt_i,0.0,CT_max_C,False,False
HXPRTNo2,P0A9M2,Topt_i,0.0,CT_max_C,False,False
NDPK5No1,P69441,Topt_i,0.0,CT_max_C,False,False
NDPK5No2,P0A763,Topt_i,0.0,CT_max_C,False,False
SHK3DrNo1,P15770,Topt_i,0.001151140106166692,CT_max_C,False,False
NDPK6No1,P69441,Topt_i,0.0,CT_max_C,False,False
NDPK6No2,P0A763,Topt_i,0.0,CT_max_C,False,False
NDPK8No1,P69441,Topt_i,0.0,CT_max_C,False,False
NDPK8No2,P0A763,Topt_i,0.0,CT_max_C,False,False
DHORTSNo1,P05020,Topt_i,0.0,CT_max_C,False,False
OMPDCNo1,P08244,Topt_i,0.0029486791747462735,CT_max_C,False,False
PYNP2rNo1,P12758,Topt_i,0.0,CT_max_C,False,False
G5SDNo1,P07004,Topt_i,0.0007686870904842828,CT_max_C,False,False
CSNo1,P0ABH7,Topt_i,0.07992180365111251,niche_width_C,True,True
ICDHyrNo1,P08200,Topt_i,0.0444107155070923,niche_width_C,False,True
ALATA_L2No1,P75823,Topt_i,0.0,CT_max_C,False,False
ALATA_L2No2,P0A825,Topt_i,0.0,CT_max_C,False,False
DURIPPNo1,P07650,Topt_i,0.0,CT_max_C,False,False
DURIPPNo2,P0ABP8,Topt_i,0.0,CT_max_C,False,False
ACALDNo1,P77580,Topt_i,0.0,CT_max_C,False,False
ACALDNo2,P0A9Q7,Topt_i,0.0,CT_max_C,False,False
PTRCTANo1,P42588,Topt_i,0.0,CT_max_C,False,False
ACSNo1,P27550,Topt_i,0.0,CT_max_C,False,False
CYSDSNo1,P06721,Topt_i,0.0,CT_max_C,False,False
CYSDSNo2,P0A853,Topt_i,0.0,CT_max_C,False,False
MAN6PINo1,P00946,Topt_i,0.0,CT_max_C,False,False
PPANo1,P0A840,Topt_i,0.0021233050335609047,CT_max_C,False,False
PPANo2,P0AFL6,Topt_i,0.0,CT_max_C,False,False
PPANo3,P0A7A9,Topt_i,0.0,CT_max_C,False,False
APRAURNo1,P25539,Topt_i,8.15801282967309e-06,CT_max_C,False,False
TRPAS2No1,P0A853,Topt_i,0.0,CT_max_C,False,False
PPCKNo1,P22259,Topt_i,0.0,CT_max_C,False,False
ME1No1,P26616,Topt_i,0.0,CT_max_C,False,False
DB4PSNo1,P0A7J0,Topt_i,0.0017604512639468049,CT_max_C,False,False
ALARNo1,P29012,Topt_i,0.0,CT_max_C,False,False
ALARNo2,P0A6B4,Topt_i,0.0,CT_max_C,False,False
RBFKNo1,P0AG40,Topt_i,2.7233621370958568e-05,CT_max_C,False,False
ALATA_LNo1,P0A959,Topt_i,0.0,CT_max_C,False,False
ALATA_LNo2,P77434,Topt_i,0.0,CT_max_C,False,False
XYLKNo1,P08204,Topt_i,0.0,CT_max_C,False,False
XYLKNo2,P09099,Topt_i,0.0,CT_max_C,False,False
RBKNo1,P0A9J6,Topt_i,0.0,CT_max_C,False,False
GLYKNo1,P0A6F3,Topt_i,0.0,CT_max_C,False,False
PPMNo1,P0A6K6,Topt_i,0.0,CT_max_C,False,False
ASPTANo1,P00509,Topt_i,0.0,CT_max_C,False,False
ASPTANo2,P04693,Topt_i,0.0,CT_max_C,False,False
ACP1_FMNNo1,P0ADP0,Topt_i,0.0,CT_max_C,False,False
ACP1_FMNNo2,P46891,Topt_i,0.0,CT_max_C,False,False
ACP1_FMNNo3,P75809,Topt_i,0.0,CT_max_C,False,False
RBFSbNo1,P0AFU8,Topt_i,0.001278078956289385,CT_max_C,False,False
NDP3No1,P0AEI6,Topt_i,0.0,CT_max_C,False,False
