temp_C,growth,status,o2_uptake,o2_release,co2_uptake,co2_release,glc__D_uptake,glc__D_release,pyr_uptake,pyr_release,lac__D_uptake,lac__D_release,ac_uptake,ac_release,RQ,medium
5.0,0.0,infeasible,,,,,,,,,,,,,,glucose_minimal
5.5,0.0,infeasible,,,,,,,,,,,,,,glucose_minimal
6.0,0.0,infeasible,,,,,,,,,,,,,,glucose_minimal
6.5,0.0,infeasible,,,,,,,,,,,,,,glucose_minimal
7.0,0.0,infeasible,,,,,,,,,,,,,,glucose_minimal
7.5,0.0,infeasible,,,,,,,,,,,,,,glucose_minimal
8.0,0.0,infeasible,,,,,,,,,,,,,,glucose_minimal
8.5,0.0004665614104887725,optimal,1.401763095169227,-1.401763095169227,0.0,-0.0,1.4060886423820393,-1.4060886423820393,-2.8055173552319803,2.8055173552319803,0.0,-0.0,-0.00041518889345354453,0.00041518889345354453,-0.0,glucose_minimal
9.0,0.0016721631751803704,optimal,1.4337034306362708,-1.4337034306362708,0.0,-0.0,1.4492062574864184,-1.4492062574864184,-2.874543226466521,2.874543226466521,0.0,-0.0,-0.0014880432945569284,0.0014880432945569284,-0.0,glucose_minimal
9.5,0.003125550461042169,optimal,1.4722084153115678,-1.4722084153115678,0.0,-0.0,1.5011857713065704,-1.5011857713065704,-2.95775588141272,2.95775588141272,0.0,-0.0,-0.0027813998504376803,0.0027813998504376803,-0.0,glucose_minimal
10.0,0.004857892387536372,optimal,1.5181038211548092,-1.5181038211548092,0.0,-0.0,1.5631419284749892,-1.5631419284749892,-3.056939885828119,3.056939885828119,0.0,-0.0,-0.004322995686216297,0.004322995686216297,-0.0,glucose_minimal
10.5,0.006902562847440593,optimal,1.5722738317848113,-1.5722738317848113,0.0,-0.0,1.6362683260031106,-1.6362683260031106,-3.174006038197692,3.174006038197692,0.0,-0.0,-0.006142529935384368,0.006142529935384368,-0.0,glucose_minimal
11.0,0.00929509685628929,optimal,1.6356598860334008,-1.6356598860334008,0.0,-0.0,1.7218358521455956,-1.7218358521455956,-3.3109888705521975,3.3109888705521975,0.0,-0.0,-0.008271624895559536,0.008271624895559536,-0.0,glucose_minimal
11.5,0.012073117249610892,optimal,1.709258735915374,-1.709258735915374,0.0,-0.0,1.8211900647715176,-1.8211900647715176,-3.47004245157063,3.47004245157063,0.0,-0.0,-0.01074376079699688,0.01074376079699688,-0.0,glucose_minimal
12.0,0.015276229643779596,optimal,1.7941196943502362,-1.7941196943502362,0.0,-0.0,1.9357474652554656,-1.9357474652554656,-3.6534344337434494,3.6534344337434494,0.0,-0.0,-0.013594182329178455,0.013594182329178455,-0.0,glucose_minimal
12.5,0.018945885237365987,optimal,1.8913408854505438,-1.8913408854505438,0.0,-0.0,2.06699047678063,-2.06699047678063,-3.8635379684204865,3.8635379684204865,0.0,-0.0,-0.016859776548943252,0.016859776548943252,-0.0,glucose_minimal
13.0,0.02312520746151937,optimal,2.002064814239474,-2.002064814239474,0.0,-0.0,2.216461406911122,-2.216461406911122,-4.102822105434207,4.102822105434207,0.0,-0.0,-0.020578918618180498,0.020578918618180498,-0.0,glucose_minimal
13.5,0.02785878515376693,optimal,2.12747278500667,-2.12747278500667,0.0,-0.0,2.3857549484371168,-2.3857549484371168,-4.373839747130007,4.373839747130007,0.0,-0.0,-0.024791287751032388,0.024791287751032388,-0.0,glucose_minimal
14.0,0.033192429300661734,optimal,2.268778480770752,-2.268778480770752,0.0,-0.0,2.576509503569061,-2.576509503569061,-4.6792137691310405,4.6792137691310405,0.0,-0.0,-0.029537650741283207,0.029537650741283207,-0.0,glucose_minimal
14.5,0.039172894346468416,optimal,2.4272205798340143,-2.4272205798340143,0.0,-0.0,2.790397216711523,-2.790397216711523,-5.021621064064245,5.021621064064245,0.0,-0.0,-0.034859613957455404,0.034859613957455404,-0.0,glucose_minimal
15.0,0.045847564420006454,optimal,2.604054442904184,-2.604054442904184,0.0,-0.0,3.0291127525560997,-3.0291127525560997,-5.403774576700239,5.403774576700239,0.0,-0.0,-0.040799344118804266,0.040799344118804266,-0.0,glucose_minimal
15.5,0.05326410548958706,optimal,2.800542897539862,-2.800542897539862,0.0,-0.0,3.294360855613239,-3.294360855613239,-5.828403388330322,5.828403388330322,0.0,-0.0,-0.047399258751063274,0.047399258751063274,-0.0,glucose_minimal
16.0,0.061470775902918086,optimal,3.013907838066543,-3.013907838066543,0.0,-0.0,3.5932762928877353,-3.5932762928877353,-6.30908816931645,6.30908816931645,0.0,-0.0,-0.03577137512022799,0.03577137512022799,-0.0,glucose_minimal
16.5,0.07051732047012664,optimal,3.264707925265402,-3.264707925265402,0.0,-0.0,3.949858895653817,-3.949858895653817,-6.893118500055872,6.893118500055872,0.0,-0.0,0.0,-0.0,-0.0,glucose_minimal
17.0,0.08044799630868636,optimal,3.528799804740143,-3.528799804740143,0.0,-0.0,4.3104378813038915,-4.3104378813038915,-7.4725210672354345,7.4725210672354345,0.0,-0.0,0.0,-0.0,-0.0,glucose_minimal
17.5,0.09130764595137085,optimal,3.8175963913166546,-3.8175963913166546,0.0,-0.0,4.704747545251449,-4.704747545251449,-8.10612435707506,8.10612435707506,0.0,-0.0,0.0,-0.0,-0.0,glucose_minimal
18.0,0.10313935220537963,optimal,4.132243409587241,-4.132243409587241,0.0,-0.0,5.134352207505683,-5.134352207505683,-8.796442024183825,8.796442024183825,0.0,-0.0,0.0,-0.0,-0.0,glucose_minimal
18.5,0.11598382379046472,optimal,4.473823448741652,-4.473823448741652,0.0,-0.0,5.600729985881831,-5.600729985881831,-9.545849207687517,9.545849207687517,0.0,-0.0,0.0,-0.0,-0.0,glucose_minimal
19.0,0.12987888065569073,optimal,4.84334227531515,-4.84334227531515,0.0,-0.0,6.105254108052824,-6.105254108052824,-10.356552502176129,10.356552502176129,0.0,-0.0,0.0,-0.0,-0.0,glucose_minimal
19.5,0.1448590236976246,optimal,5.241717390469336,-5.241717390469336,0.0,-0.0,6.649177288183286,-6.649177288183286,-11.230564853028685,11.230564853028685,0.0,-0.0,0.0,-0.0,-0.0,glucose_minimal
20.0,0.16095466095985597,optimal,5.669757451894122,-5.669757451894122,0.0,-0.0,7.233603630534755,-7.233603630534755,-12.169660409236194,12.169660409236194,0.0,-0.0,0.0,-0.0,-0.0,glucose_minimal
20.5,0.17819180745680485,optimal,6.128154291058398,-6.128154291058398,0.0,-0.0,7.859477730184478,-7.859477730184478,-13.175357009703538,13.175357009703538,0.0,-0.0,0.0,-0.0,-0.0,glucose_minimal
21.0,0.19659151247871218,optimal,6.617467683219378,-6.617467683219378,0.0,-0.0,8.527563878692062,-8.527563878692062,-14.248882769515959,14.248882769515959,0.0,-0.0,0.0,-0.0,-0.0,glucose_minimal
21.5,0.2161693597666874,optimal,7.138112055304822,-7.138112055304822,0.0,-0.0,9.238427915649119,-9.238427915649119,-15.391146917788456,15.391146917788456,0.0,-0.0,0.0,-0.0,-0.0,glucose_minimal
22.0,0.2369349929589032,optimal,7.6903438658450405,-7.6903438658450405,0.0,-0.0,9.992419997815155,-9.992419997815155,-16.60271210995417,16.60271210995417,0.0,-0.0,0.0,-0.0,-0.0,glucose_minimal
22.5,0.25889639240136936,optimal,8.274375340534474,-8.274375340534474,-0.20006728748702907,0.20006728748702907,10.789829888456564,-10.789829888456564,-17.683976669632436,17.683976669632436,0.0,-0.0,0.0,-0.0,0.024179140932481066,glucose_minimal
23.0,0.2820482483360017,optimal,8.890065274080037,-8.890065274080037,-0.21795834025211963,0.21795834025211963,11.630464792317941,-11.630464792317941,-19.016874322648178,19.016874322648178,0.0,-0.0,0.0,-0.0,0.024517068607763898,glucose_minimal
23.5,0.30637828429765757,optimal,9.53708719174783,-9.53708719174783,-0.2367598548431955,0.2367598548431955,12.513878955714574,-12.513878955714574,-20.41760210545082,20.41760210545082,0.0,-0.0,0.0,-0.0,0.024825174613906965,glucose_minimal
24.0,0.33186839718755795,optimal,10.21495966795727,-10.21495966795727,-0.2564578417340677,0.2564578417340677,13.43941506215547,-13.43941506215547,-21.885117787216792,21.885117787216792,0.0,-0.0,0.0,-0.0,0.02510610419133967,glucose_minimal
24.5,0.3584927108951398,optimal,10.922994565185402,-10.922994565185402,-0.27703230465060147,0.27703230465060147,14.406133560108358,-14.406133560108358,-23.41793162962275,23.41793162962275,0.0,-0.0,0.0,-0.0,0.025362303624463924,glucose_minimal
25.0,0.38621735813549657,optimal,11.66029123225118,-11.66029123225118,-0.29845707198111093,0.29845707198111093,15.412804741602196,-15.412804741602196,-25.01409382680057,25.01409382680057,0.0,-0.0,0.0,-0.0,0.025596022092107703,glucose_minimal
25.5,0.4144303931816434,optimal,12.481831744108787,-12.481831744108787,-0.32025925060980776,0.32025925060980776,16.50846497625413,-16.50846497625413,-26.78088522864644,26.78088522864644,0.0,-0.0,0.0,-0.0,0.025658032985500283,glucose_minimal
26.0,0.44367374847823704,optimal,13.328305289705995,-13.328305289705995,-0.34285762950934473,0.34285762950934473,17.639068904646617,-17.639068904646617,-28.602060514206816,28.602060514206816,0.0,-0.0,0.0,-0.0,0.025724022826378982,glucose_minimal
26.5,0.4738887518272001,optimal,14.198244411790869,-14.198244411790869,-0.36620686858281914,0.36620686858281914,18.802579006553408,-18.802579006553408,-30.47442749925133,30.47442749925133,0.0,-0.0,0.0,-0.0,0.02579240488906532,glucose_minimal
27.0,0.5050085630557315,optimal,15.093076334767275,-15.093076334767275,-0.39025531576996536,0.39025531576996536,19.999773082819,-19.999773082819,-32.40054754738653,32.40054754738653,0.0,-0.0,0.0,-0.0,0.0258565786797886,glucose_minimal
27.5,0.5367267897150095,optimal,14.784885685341713,-14.784885685341713,-0.4147662002700159,0.4147662002700159,19.999758830762488,-19.999758830762488,-31.923246422193923,31.923246422193923,0.0,-0.0,0.0,-0.0,0.028053392437198926,glucose_minimal
28.0,0.5686103014662532,optimal,14.864981636430494,-14.864981636430494,-1.2191900035138732,1.2191900035138732,19.999744504437874,-19.999744504437874,-30.66367286814431,30.66367286814431,0.0,-0.0,-0.779785191432923,0.779785191432923,0.0820175923074087,glucose_minimal
28.5,0.599998000863995,optimal,15.408804333073045,-15.408804333073045,-2.941049012001199,2.941049012001199,19.99973040089828,-19.99973040089828,-28.493742026456932,28.493742026456932,0.0,-0.0,-2.4773887368727285,2.4773887368727285,0.19086808738875413,glucose_minimal
29.0,0.6319982302227339,optimal,15.961273012311661,-15.961273012311661,-4.692576644322201,4.692576644322201,19.999716022128553,-19.999716022128553,-26.28539845328246,26.28539845328246,0.0,-0.0,-4.204187561552264,4.204187561552264,0.2939976429638539,glucose_minimal
29.5,0.6644171980802468,optimal,16.519303222963153,-16.519303222963153,-6.463688286343903,6.463688286343903,19.999701455205663,-19.999701455205663,-24.051493212586667,24.051493212586667,0.0,-0.0,-5.9502468075083925,5.9502468075083925,0.39128092747633925,glucose_minimal
30.0,0.697152252870364,optimal,17.081281006791148,-17.081281006791148,-8.249081864451355,8.249081864451355,19.999686746254376,-19.999686746254376,-21.798793769724224,21.798793769724224,0.0,-0.0,-7.710343727146325,7.710343727146325,0.4829311022499834,glucose_minimal
30.5,0.7301154346184511,optimal,17.645827981991257,-17.645827981991257,-10.044223313271587,10.044223313271587,19.999671934798045,-19.999671934798045,-19.533089853524164,19.533089853524164,0.0,-0.0,-9.480012227895916,9.480012227895916,0.5692123556640349,glucose_minimal
31.0,0.7631747894291738,optimal,18.210853374648153,-18.210853374648153,-11.842264850793175,11.842264850793175,19.99965708012795,-19.99965708012795,-17.26311294008466,17.26311294008466,0.0,-0.0,-11.25250649771837,11.25250649771837,0.6502861017638596,glucose_minimal
